GEO2010,1970,1980,1990,2000,2010,seqC1,seqC2
06059075809,9,9,6,6,4,3,3
06059099905,9,9,3,1,3,5,1
06059110202,1,6,1,1,5,5,2
06059110106,9,9,9,3,9,3,5
06059110014,9,1,1,1,9,3,7
06059075701,9,9,3,3,1,3,5
06059075702,9,9,6,6,3,3,3
06059075703,9,9,6,6,1,3,3
06059075805,1,9,1,1,4,5,2
06059075807,9,9,9,3,3,2,5
06059062604,6,5,5,5,4,3,4
06059062605,7,7,5,7,1,5,6
06059062611,9,7,7,1,4,5,2
06059062612,9,9,9,6,3,3,5
06059062614,7,9,7,7,3,5,2
06059099232,9,9,9,6,3,3,5
06059099235,9,9,9,9,9,1,5
06059099237,9,9,9,3,3,2,5
06059099238,9,9,9,9,3,2,5
06059001504,4,5,1,1,3,5,2
06059021825,9,6,9,9,6,5,1
06059001902,9,3,3,3,3,2,5
06059011101,9,3,3,3,6,3,5
06059001901,3,3,3,3,3,1,5
06059086701,9,9,9,3,1,3,5
06059011102,9,9,3,3,3,2,5
06059011715,9,9,9,9,9,1,5
06059021812,9,9,9,9,9,1,5
06059076201,9,9,9,3,4,3,5
06059110303,9,9,3,3,9,3,5
06059086901,1,1,1,1,3,2,7
06059088301,9,9,3,3,6,3,5
06059021809,9,9,9,3,7,3,5
06059011717,9,9,9,3,9,3,5
06059088001,9,9,3,3,10,3,5
06059087901,9,4,4,1,7,5,2
06059087703,9,9,3,3,3,2,5
06059075808,9,9,3,6,4,5,1
06059075810,9,9,6,6,4,3,3
06059075815,9,9,9,3,1,3,5
06059075816,9,9,9,1,1,2,5
06059062619,5,6,6,6,4,3,4
06059062620,5,6,6,6,4,3,4
06059062631,7,9,6,6,4,5,4
06059062632,5,7,5,6,4,4,4
06059062634,5,7,5,9,4,4,4
06059099239,9,9,9,6,3,3,5
06059099240,9,9,9,9,3,2,5
06059099241,9,9,9,1,1,2,5
06059099242,9,9,9,3,9,3,5
06059011000,3,3,3,3,9,2,5
06059021827,9,6,9,9,1,5,1
06059021814,9,9,9,9,6,2,5
06059110607,4,1,1,1,9,3,7
06059088202,9,9,3,3,3,2,5
06059087602,9,9,9,3,10,3,5
06059086406,5,1,1,1,3,3,7
06059011710,9,9,9,3,9,3,5
06059110302,9,9,3,3,9,3,5
06059087806,1,5,1,4,6,4,1
06059086903,9,1,1,1,1,2,7
06059087001,9,9,1,1,3,3,7
06059110117,9,9,9,9,5,2,5
06059021816,9,9,9,9,6,2,5
06059075902,1,1,1,1,1,1,7
06059032014,9,5,3,3,3,3,5
06059099245,9,9,9,9,3,2,5
06059099246,9,9,9,9,3,2,5
06059099247,1,1,4,4,3,3,7
06059099248,1,1,4,4,3,3,7
06059099249,1,1,4,4,3,3,7
06059099250,5,1,1,3,3,3,2
06059001401,9,9,1,3,9,5,1
06059001706,6,9,6,6,9,5,4
06059075901,1,1,1,1,1,1,7
06059001501,9,5,9,9,9,3,1
06059001601,6,9,6,6,1,5,4
06059011707,9,1,5,9,9,5,1
06059110500,1,1,1,1,9,2,7
06059110114,9,9,9,3,9,3,5
06059021829,9,6,9,9,6,5,1
06059021820,9,9,9,9,9,1,5
06059087105,1,1,1,1,1,1,7
06059032015,9,9,9,9,3,2,5
06059042103,5,5,5,6,7,3,4
06037920336,9,1,1,1,6,3,7
06037920044,9,9,9,9,4,2,5
06037573003,7,10,10,10,7,3,9
06037571704,1,1,4,4,3,3,7
06037570403,3,2,4,4,10,5,2
06037553503,4,4,4,4,3,2,10
06037552302,4,9,4,4,3,5,2
06037503104,4,4,4,4,3,2,10
06037550602,3,3,3,3,10,2,5
06037550601,3,3,3,3,4,2,5
06037550202,4,3,3,3,4,3,5
06037550201,4,3,3,3,3,2,5
06037544002,3,3,3,4,3,3,5
06037544001,3,3,3,4,4,2,10
06037543905,4,4,4,4,4,1,10
06037139504,1,7,7,7,3,3,2
06037139503,1,7,7,7,3,3,2
06037139401,6,1,6,6,3,5,4
06037137103,9,5,7,7,6,5,2
06037134905,1,1,1,1,7,2,7
06037134522,1,1,10,10,7,3,7
06037301206,3,3,6,1,7,5,1
06037301205,3,3,6,1,1,3,1
06037300301,9,3,3,3,1,3,5
06037501002,3,3,3,3,3,1,5
06037501001,3,3,3,3,3,1,5
06037500404,9,3,3,3,4,3,5
06037481606,3,1,1,1,3,3,7
06037500403,9,3,3,3,4,3,5
06037433101,4,4,4,4,3,2,10
06037911001,5,5,5,5,3,2,4
06037910813,5,5,9,9,1,3,1
06037910606,9,9,9,9,9,1,5
06037910605,9,9,9,9,9,1,5
06037135114,1,7,5,5,7,5,4
06037135113,1,7,5,5,7,5,4
06037134903,1,1,1,1,6,2,7
06037134521,1,1,10,10,7,3,7
06037131701,1,1,1,1,3,2,7
06037128801,7,7,7,7,1,2,6
06037127712,1,1,5,1,1,3,1
06037127606,1,1,10,10,3,3,7
06037127604,1,1,1,10,3,3,7
06037124903,7,7,7,7,10,2,6
06037124204,1,1,1,10,10,2,7
06037124203,1,1,1,10,10,2,7
06037124105,1,1,10,10,1,3,7
06037124103,1,1,10,10,10,2,9
06037122121,4,3,4,4,1,5,2
06037121222,4,4,4,4,4,1,10
06037121221,3,4,4,4,1,3,10
06037121101,4,4,4,4,1,2,10
06037120108,1,7,10,10,1,5,2
06037481605,3,1,1,1,3,3,7
06037124902,7,7,7,7,10,2,6
06037124104,1,1,10,10,1,3,7
06037123902,3,1,1,1,1,2,7
06037121102,3,3,3,3,1,2,5
06037106645,9,9,6,3,3,3,1
06037104204,8,8,4,4,4,2,9
06037297601,1,1,1,1,1,1,7
06037910505,4,1,4,9,1,4,2
06037910504,4,1,4,9,10,4,2
06037910002,2,4,9,9,3,5,1
06037901011,9,9,9,9,9,1,5
06037901010,9,9,9,9,9,1,5
